Analyse enrichment

MAL ID: 168 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 205 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 2476 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 24 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 517 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 167 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 400 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 290 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1827 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 199 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2104 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1559 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 217 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 90 | AniList ID: (hidden) | Enrichment: Success | Relations: 8
MAL ID: 16498 | AniList ID: (hidden) | Enrichment: Success | Relations: 10
MAL ID: 25777 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 169 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 30 | AniList ID: (hidden) | Enrichment: Success | Relations: 11
MAL ID: 32 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 31 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 170 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 478 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 198 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 565 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 25 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 390 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 849 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
